case_id	subcorpus	piece	measure	onset	artifact_kind	current_value	candidate_value	status	evidence	discovered_by	fork_commit	fork_pr	notes
DLC-0001	rachmaninoff_piano	op42_20	12	3/8	harmony_annotation	bVI(^#2)/III	bVI(^2)/III	fixed_in_fork	Digital score sounds D-flat, A-flat, and E-natural; the engraved 1931 edition independently confirms E-natural.	JiMS sharp-versus-natural audit	b28945d	https://github.com/JimPlamondon/rachmaninoff_piano/pull/1	The authoritative MuseScore label and regenerated harmony table were corrected together; no upstream submission has been made.
DLC-0002	medtner_tales	op48n01	282	0	harmony_annotation_bass	vii/bii	vii64/bii	flagged_needs_adjudication	Digital score sounds F-sharp, B, and D with F-sharp lowest, while the published analysis encodes B as bass.	JiMS complete-score-spelling audit			The candidate merely expresses the observed inversion; compare the engraved edition and harmonic context before changing either source or generated data.
DLC-0003	medtner_tales	op42n01	51	1/8	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0004	medtner_tales	op42n01	51	3/8	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0005	medtner_tales	op42n01	52	0	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0006	medtner_tales	op42n01	52	1/4	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0007	medtner_tales	op42n01	53	0	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0008	medtner_tales	op42n01	53	1/4	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0009	medtner_tales	op42n01	53	7/8	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0010	medtner_tales	op42n01	54	1/8	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
